Itemcode,Barcode,ItemName,Unit,PhysicalCount,Converted,Region,CountingTime
265862,8935117702115,ANH HONG Thach Dua 190g/1 Ly,LY,3,1,Display,20210329155132
265862,8935117702115,ANH HONG Thach Dua 190g/1 Ly,LY,4,1,Bad Merchandise,20210329162906
265888,8936049051722,OTTOGI Mi Jin Lau Thai 115g/1 Goi,GOI,7,1,Backroom,20210329161830
266274,8935049501367,FANTA Soda Kem 600ml/1 Chai,CHAI,10,1,Display,20210329160913
267424,8934683008737,B'SFAST Ngu Coc (20goix25g)/1 Goi,GOI,5,1,Backroom,20210329161358
267466,8938502525054,THO PHAT Banh Bao Khong Nhan 300g/1 Goi,GOI,1,1,Display,20210329163559
267987,8938510335782,ECOBA Gao Huu Co Huyen Me 1kg/1 Hop,HOP,3,1,8938510335782,20210329162025
268006,8938510335775,ECOBA Gao Huu Co Huyet Rong 1kg/1 Hop,HOP,4,1,8938510335782,20210329162031
269751,8934804037783,MILO Sua Ngu Coc Nap Van 200ml/1 Hop,HOP,10,1,Display,20210329155138
269751,8934804037783,MILO Sua Ngu Coc Nap Van 200ml/1 Hop,HOP,4,1,Backroom,20210329161353
269751,8934804037783,MILO Sua Ngu Coc Nap Van 200ml/1 Hop,HOP,4,1,Bad Merchandise,20210329162916
270540,2100012705400,CK Dimsum Thap Cam 120g*1BOX,HOP,2,1,Display,20210329155124
270540,2100012705400,CK Dimsum Thap Cam 120g*1BOX,HOP,2,1,Bad Merchandise,20210329162913
270752,8938503131933,DALAT Sua Tiet Trung It Duong 220ml/1 Goi,GOI,21,1,Backroom,20210329161402
270760,8938503131759,DALAT STT Co Duong 220ml*1PK,GOI,21,1,Backroom,20210329161419
270906,6921168593569,NONG FU SPRING Tra O Long Dao 500ml/1 Chai,CHAI,15,1,Display,20210329160941
270998,8938512932132,SAI GON SCU Set Viet Quat 300ml*1BT,CHAI,6,1,Display,20210329155413
271457,8936124240430,LE PAIN DORE SW Ngu Coc 100g*1PK,GOI,1,1,Bad Merchandise,20210329163034
271562,8801030000488,CHUM-CHURUM Soju Vi Viet Quat 360ml/1 Chai,CHAI,12,1,Backroom,20210329161239
271588,2100012715881,CK Dui Ga Hap Tam Vi*1PK,GOI,3,1,Bad Merchandise,20210329162909
271669,8935004401268,555 Thuoc La Bam Sphere 90 20 Dieu/1Goi,GOI,5,1,Display,20210329155720
271782,8850125097773,OREO Kem Sandwich 60g/1 Goi,GOI,10,1,Display,20210329163533
272097,8851932415613,ASIAN DELIGHT Kem Tra Sua 63g/1Que,QUE,5,1,Display,20210329163446
272356,8934588662027,PEPSI BLACK Nuoc Ngot Co Ga Khong Calo 330ml/1 Lon,LON,10,1,Display,20210329163549
272801,8888296038493,MARSHMALLOWS K.D Vi Xoai 70g/ 1 Goi,GOI,8,1,8934563506155,20210329163112
