Item Code	Item Name	BarCode	Unit	Converter
267157	PASEO Khan Giay Da Nang 2pcs/1 Goi	267157	GOI	1
267157	PASEO Khan Giay Da Nang 2pcs/1 Goi	8993053411027	GOI	1
267165	PASEO Giay Ve Sinh 4pcs/1 Goi	267165	GOI	1
267165	PASEO Giay Ve Sinh 4pcs/1 Goi	8993053211009	GOI	1
267173	PASEO Khan Giay Hanky Duck 6pcs/1 Goi	267173	GOI	1
267173	PASEO Khan Giay Hanky Duck 6pcs/1 Goi	8993053141092	GOI	1
267181	TOPLY Khan Giay Hop 150psc/1 Hop	267181	HOP	1
267181	TOPLY Khan Giay Hop 150psc/1 Hop	8938506235201	HOP	1
267199	TOPLY Giay Ve Sinh 10pcs/1 Goi	267199	GOI	1
267199	TOPLY Giay Ve Sinh 10pcs/1 Goi	8938506235126	GOI	1
267204	DOWNY Nuoc Xa Huong Nang Mai 2.4l/1 Goi	267204	GOI	1
267204	DOWNY Nuoc Xa Huong Nang Mai 2.4l/1 Goi	4902430818742	GOI	1
267212	OMO Bot Giat Comfort 5.5kg/1 Goi	267212	GOI	1
267212	OMO Bot Giat Comfort 5.5kg/1 Goi	8934868135050	GOI	1
267212	OMO Bot Giat Comfort 5.5kg/1 Goi	8934868149002	GOI	1
267220	OMO Nuoc Giat Cua Tren 4L/1 Goi	267220	GOI	1
267220	OMO Nuoc Giat Cua Tren 4L/1 Goi	8934868135425	GOI	1
267220	OMO Nuoc Giat Cua Tren 4L/1 Goi	8934868148128	GOI	1
